Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 66.0.3359.181,,2018-05-25 10:42:54,2018-05-25 10:44:17,1m - 22.610s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 66.0.3359.181,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-05-25 10:42:57,2018-05-25 10:43:32,35.213s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 10:42:59,2018-05-25 10:42:59,0.182s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 10:42:59,2018-05-25 10:42:59,0.022s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-25 10:42:59,2018-05-25 10:43:22,22.357s,PASSED
click,Chrome 66.0.3359.181,,2018-05-25 10:43:22,2018-05-25 10:43:23,1.561s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-25 10:43:23,2018-05-25 10:43:24,0.814s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-25 10:43:24,2018-05-25 10:43:25,0.669s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 10:43:25,2018-05-25 10:43:25,0.005s,PASSED
click,Chrome 66.0.3359.181,,2018-05-25 10:43:25,2018-05-25 10:43:27,1.870s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 10:43:27,2018-05-25 10:43:27,0.006s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 66.0.3359.181,,2018-05-25 10:43:27,2018-05-25 10:43:28,1.068s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-25 10:43:28,2018-05-25 10:43:32,4.060s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 66.0.3359.181,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-05-25 10:43:32,2018-05-25 10:44:17,44.751s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 10:43:33,2018-05-25 10:43:33,0.006s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 10:43:33,2018-05-25 10:43:33,0.007s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-25 10:43:33,2018-05-25 10:43:41,8.119s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-25 10:43:41,2018-05-25 10:43:55,14.345s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 10:43:55,2018-05-25 10:43:55,0.003s,PASSED
Statement - If (true),Chrome 66.0.3359.181,,2018-05-25 10:43:55,2018-05-25 10:44:09,13.298s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 10:44:09,2018-05-25 10:44:09,0.004s,PASSED
click,Chrome 66.0.3359.181,,2018-05-25 10:44:09,2018-05-25 10:44:14,5.792s,PASSED
verifyTextPresent,Chrome 66.0.3359.181,,2018-05-25 10:44:14,2018-05-25 10:44:15,0.271s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 10:44:15,2018-05-25 10:44:15,0.005s,PASSED
Statement - If (true),Chrome 66.0.3359.181,,2018-05-25 10:44:15,2018-05-25 10:44:15,0.784s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-25 10:44:15,2018-05-25 10:44:17,1.108s,PASSED
