Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Firefox 54.0,,2018-05-25 09:58:26,2018-05-25 09:59:40,1m - 13.829s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Firefox 54.0,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-05-25 09:58:28,2018-05-25 09:59:07,39.421s,PASSED
comment,Firefox 54.0,,2018-05-25 09:58:30,2018-05-25 09:58:30,0.152s,PASSED
comment,Firefox 54.0,,2018-05-25 09:58:30,2018-05-25 09:58:30,0.008s,PASSED
openBrowser,Firefox 54.0,,2018-05-25 09:58:30,2018-05-25 09:59:02,31.542s,PASSED
click,Firefox 54.0,,2018-05-25 09:59:02,2018-05-25 09:59:03,1.180s,PASSED
setText,Firefox 54.0,,2018-05-25 09:59:03,2018-05-25 09:59:04,1.447s,PASSED
setText,Firefox 54.0,,2018-05-25 09:59:04,2018-05-25 09:59:05,0.657s,PASSED
comment,Firefox 54.0,,2018-05-25 09:59:05,2018-05-25 09:59:05,0.004s,PASSED
click,Firefox 54.0,,2018-05-25 09:59:05,2018-05-25 09:59:06,1.430s,PASSED
comment,Firefox 54.0,,2018-05-25 09:59:06,2018-05-25 09:59:06,0.004s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Firefox 54.0,,2018-05-25 09:59:06,2018-05-25 09:59:06,0.089s,PASSED
closeBrowser,Firefox 54.0,,2018-05-25 09:59:06,2018-05-25 09:59:07,0.788s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Firefox 54.0,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-05-25 09:59:07,2018-05-25 09:59:40,32.792s,PASSED
comment,Firefox 54.0,,2018-05-25 09:59:08,2018-05-25 09:59:08,0.010s,PASSED
comment,Firefox 54.0,,2018-05-25 09:59:08,2018-05-25 09:59:08,0.015s,PASSED
openBrowser,Firefox 54.0,,2018-05-25 09:59:08,2018-05-25 09:59:29,21.231s,PASSED
callTestCase,Firefox 54.0,,2018-05-25 09:59:29,2018-05-25 09:59:34,4.738s,PASSED
comment,Firefox 54.0,,2018-05-25 09:59:34,2018-05-25 09:59:34,0.003s,PASSED
Statement - If (true),Firefox 54.0,,2018-05-25 09:59:34,2018-05-25 09:59:37,3.159s,PASSED
comment,Firefox 54.0,,2018-05-25 09:59:37,2018-05-25 09:59:37,0.003s,PASSED
click,Firefox 54.0,,2018-05-25 09:59:37,2018-05-25 09:59:38,0.967s,PASSED
verifyTextPresent,Firefox 54.0,,2018-05-25 09:59:38,2018-05-25 09:59:39,0.652s,PASSED
comment,Firefox 54.0,,2018-05-25 09:59:39,2018-05-25 09:59:39,0.003s,PASSED
Statement - If (true),Firefox 54.0,,2018-05-25 09:59:39,2018-05-25 09:59:39,0.678s,PASSED
closeBrowser,Firefox 54.0,,2018-05-25 09:59:39,2018-05-25 09:59:40,0.709s,PASSED
