Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 66.0.3359.181,,2018-05-25 11:13:05,2018-05-25 11:13:42,36.826s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 66.0.3359.181,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-05-25 11:13:06,2018-05-25 11:13:25,18.799s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 11:13:08,2018-05-25 11:13:08,0.201s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 11:13:08,2018-05-25 11:13:08,0.006s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-25 11:13:08,2018-05-25 11:13:20,11.904s,PASSED
click,Chrome 66.0.3359.181,,2018-05-25 11:13:20,2018-05-25 11:13:21,1.174s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-25 11:13:21,2018-05-25 11:13:22,0.710s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-25 11:13:22,2018-05-25 11:13:22,0.470s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 11:13:22,2018-05-25 11:13:22,0.004s,PASSED
click,Chrome 66.0.3359.181,,2018-05-25 11:13:22,2018-05-25 11:13:23,1.072s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 11:13:23,2018-05-25 11:13:23,0.005s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 66.0.3359.181,,2018-05-25 11:13:23,2018-05-25 11:13:24,0.352s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-25 11:13:24,2018-05-25 11:13:25,1.294s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 66.0.3359.181,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-05-25 11:13:25,2018-05-25 11:13:42,16.586s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 11:13:26,2018-05-25 11:13:26,0.007s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 11:13:26,2018-05-25 11:13:26,0.010s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-25 11:13:26,2018-05-25 11:13:32,6.730s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-25 11:13:32,2018-05-25 11:13:36,3.827s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 11:13:36,2018-05-25 11:13:36,0.004s,PASSED
Statement - If (true),Chrome 66.0.3359.181,,2018-05-25 11:13:36,2018-05-25 11:13:39,2.468s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 11:13:39,2018-05-25 11:13:39,0.004s,PASSED
click,Chrome 66.0.3359.181,,2018-05-25 11:13:39,2018-05-25 11:13:39,0.714s,PASSED
verifyTextPresent,Chrome 66.0.3359.181,,2018-05-25 11:13:39,2018-05-25 11:13:40,0.429s,PASSED
comment,Chrome 66.0.3359.181,,2018-05-25 11:13:40,2018-05-25 11:13:40,0.005s,PASSED
Statement - If (true),Chrome 66.0.3359.181,,2018-05-25 11:13:40,2018-05-25 11:13:41,0.751s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-25 11:13:41,2018-05-25 11:13:42,0.989s,PASSED
